,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
23,12,256,128,32,16,16,0.4,4,0.01,80,733519712.5401877,732460188.0976706,27.001553238336957,26.682378158303315
24,24,256,128,32,16,16,0.0,3,0.001,40,54456038.885270774,70646176.51148264,5.847888127677265,6.814226123863527
25,24,256,128,32,16,16,0.0,3,0.001,80,54456038.885270774,70646176.51148264,5.847888127677265,6.814226123863527
26,24,256,128,32,16,16,0.0,3,0.01,40,163242738.7880174,165299117.5046238,10.295764861095535,10.54383603026533
27,24,256,128,32,16,16,0.0,3,0.01,80,163242738.7880174,165299117.5046238,10.295764861095535,10.54383603026533
28,24,256,128,32,16,16,0.0,4,0.001,40,76130278.7966532,88278390.1283445,7.411673006307276,7.663944605403072
29,24,256,128,32,16,16,0.0,4,0.001,80,76130278.7966532,88278390.1283445,7.411673006307276,7.663944605403072
30,24,256,128,32,16,16,0.0,4,0.01,40,1658848098.9384997,1636623988.6505868,42.95182008789352,42.53798551164775
31,24,256,128,32,16,16,0.0,4,0.01,80,1658848098.9384997,1636623988.6505868,42.95182008789352,42.53798551164775
32,24,256,128,32,16,16,0.2,3,0.001,40,655856567.0958073,648290400.1109251,25.9967192152858,25.653947604525733
33,24,256,128,32,16,16,0.2,3,0.001,80,655856567.0958073,648290400.1109251,25.9967192152858,25.653947604525733
34,24,256,128,32,16,16,0.2,3,0.01,40,2493676013.688759,2453284753.9438004,52.724487418233565,52.22581761833861
35,24,256,128,32,16,16,0.2,3,0.01,80,2493676013.688759,2453284753.9438004,52.724487418233565,52.22581761833861
36,24,256,128,32,16,16,0.2,4,0.001,40,697605459.1451615,693353129.6238337,27.469617459714087,27.091468734233516
37,24,256,128,32,16,16,0.2,4,0.001,80,697605459.1451615,693353129.6238337,27.469617459714087,27.091468734233516
38,24,256,128,32,16,16,0.2,4,0.01,40,3943272997.2016907,3900720571.7479506,67.48972957224716,67.22463621061506
39,24,256,128,32,16,16,0.2,4,0.01,80,3943272997.2016907,3900720571.7479506,67.48972957224716,67.22463621061506
40,24,256,128,32,16,16,0.4,3,0.001,40,3246624504.455757,3220667124.197936,61.38879167510887,61.22213012481653
41,24,256,128,32,16,16,0.4,3,0.001,80,3246624504.455757,3220667124.197936,61.38879167510887,61.22213012481653
42,24,256,128,32,16,16,0.4,3,0.01,40,1905011685.9868693,1890324395.5489707,46.28518586153071,45.99478164479924
43,24,256,128,32,16,16,0.4,3,0.01,80,1905011685.9868693,1890324395.5489707,46.28518586153071,45.99478164479924
44,24,256,128,32,16,16,0.4,4,0.001,40,2462928449.4807463,2442985527.9069557,53.3989736172427,53.13632093488838
45,24,256,128,32,16,16,0.4,4,0.001,80,2462928449.4807463,2442985527.9069557,53.3989736172427,53.13632093488838
46,24,256,128,32,16,16,0.4,4,0.01,40,4277339126.9743075,4240386918.914406,70.38748425234813,70.23201387880455
47,24,256,128,32,16,16,0.4,4,0.01,80,4277339126.9743075,4240386918.914406,70.38748425234813,70.23201387880455
