,seq_length,seq_batch_size,layer_one_neurons,layer_two_neurons,layer_three_neurons,layer_four_neurons,dropout_rate,stop_patience,learning_rate,epochs,mse_train,mse_test,mape_train,mape_test
70,48,256,64,32,32,16,0.0,5,0.001,40,1090752896,1085843328,29,29
71,48,256,64,32,32,16,0.2,5,0.001,40,562133184,362209568,21,15
72,48,256,64,64,16,8,0.0,5,0.001,40,7562194944,7024185344,94,91
73,48,256,64,64,16,8,0.2,5,0.001,40,8167622656,8250253312,98,99
74,48,256,64,64,16,16,0.0,5,0.001,40,1370483456,1224356352,33,31
75,48,256,64,64,16,16,0.2,5,0.001,40,932737344,642179392,26,23
76,48,256,64,64,32,8,0.0,5,0.001,40,8353668096,8302338560,99,99
77,48,256,64,64,32,8,0.2,5,0.001,40,1077242624,907378560,28,30
78,48,256,64,64,32,16,0.0,5,0.001,40,8275027456,8159085568,99,98
79,48,256,64,64,32,16,0.2,5,0.001,40,930993024,416775424,26,16
80,48,256,128,32,16,8,0.0,5,0.001,40,8396306944,8344816128,99,99
81,48,256,128,32,16,8,0.2,5,0.001,40,1093604864,3050586624,29,59
82,48,256,128,32,16,16,0.0,5,0.001,40,645606912,537282688,22,19
83,48,256,128,32,16,16,0.2,5,0.001,40,631114240,739555520,22,27
84,48,256,128,32,32,8,0.0,5,0.001,40,103860136,88987448,8,8
85,48,256,128,32,32,8,0.2,5,0.001,40,7927589888,8242804736,95,99
86,48,256,128,32,32,16,0.0,5,0.001,40,105785736,244118608,8,15
87,48,256,128,32,32,16,0.2,5,0.001,40,1121502720,2209852928,29,47
88,48,256,128,64,16,8,0.0,5,0.001,40,8398885376,8347387392,99,99
89,48,256,128,64,16,8,0.2,5,0.001,40,1363126656,1703340928,32,42
90,48,256,128,64,16,16,0.0,5,0.001,40,118501224,111350704,9,9
91,48,256,128,64,16,16,0.2,5,0.001,40,576113280,126962744,21,8
92,48,256,128,64,32,8,0.0,5,0.001,40,167625376,154682304,10,10
93,48,256,128,64,32,8,0.2,5,0.001,40,852349760,795910848,25,26
94,48,256,128,64,32,16,0.0,5,0.001,40,752765696,771382336,23,24
95,48,256,128,64,32,16,0.2,5,0.001,40,770690176,1116394240,24,34
96,48,512,64,32,16,8,0.0,5,0.001,40,135559968,192701552,10,11
97,48,512,64,32,16,8,0.2,5,0.001,40,1112313216,656326208,29,24
98,48,512,64,32,16,16,0.0,5,0.001,40,317009440,480593248,15,17
99,48,512,64,32,16,16,0.2,5,0.001,40,1181122048,2775596544,30,55
100,48,512,64,32,32,8,0.0,5,0.001,40,508890944,480108992,19,19
101,48,512,64,32,32,8,0.2,5,0.001,40,1089124352,1601628672,29,38
102,48,512,64,32,32,16,0.0,5,0.001,40,8075163648,8012896256,97,97
103,48,512,64,32,32,16,0.2,5,0.001,40,943336640,1970669184,26,45
104,48,512,64,64,16,8,0.0,5,0.001,40,4021849856,590771392,59,21
105,48,512,64,64,16,8,0.2,5,0.001,40,3386829824,7996743168,54,97
106,48,512,64,64,16,16,0.0,5,0.001,40,2130355968,2185506816,42,42
107,48,512,64,64,16,16,0.2,5,0.001,40,1718628736,2500213504,37,48
108,48,512,64,64,32,8,0.0,5,0.001,40,1170215168,1110847872,31,30
109,48,512,64,64,32,8,0.2,5,0.001,40,1330093696,4621364224,32,72
110,48,512,64,64,32,16,0.0,5,0.001,40,7723699200,7598727168,95,95
111,48,512,64,64,32,16,0.2,5,0.001,40,8370276352,8315887616,99,99
112,48,512,128,32,16,8,0.0,5,0.001,40,8218760704,8110488576,98,98
113,48,512,128,32,16,8,0.2,5,0.001,40,874495872,561784512,25,22
114,48,512,128,32,16,16,0.0,5,0.001,40,879039360,830458624,26,25
115,48,512,128,32,16,16,0.2,5,0.001,40,1214398464,1225379072,30,34
116,48,512,128,32,32,8,0.0,5,0.001,40,7657529856,1150308352,92,29
117,48,512,128,32,32,8,0.2,5,0.001,40,8096809984,8408045568,98,100
118,48,512,128,32,32,16,0.0,5,0.001,40,585013056,596477056,19,19
119,48,512,128,32,32,16,0.2,5,0.001,40,638016000,109886880,22,8
120,48,512,128,64,16,8,0.0,5,0.001,40,113415360,110946928,9,9
121,48,512,128,64,16,8,0.2,5,0.001,40,1981498624,919785344,36,30
122,48,512,128,64,16,16,0.0,5,0.001,40,5518115328,1802772352,74,38
123,48,512,128,64,16,16,0.2,5,0.001,40,917487680,2152652544,26,49
124,48,512,128,64,32,8,0.0,5,0.001,40,701600960,660658432,23,22
